# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (domain:PD FAO.udpate:2022-03-01T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bhutan,18,GDP Deflator,22024,"Value US$, 2015 prices",6179,73.1404,81.8954,79.1527,74.02,75.9073,68.1081,72.7946,84.6444,85.4694,87.8866,91.2451,84.3776,81.8789,84.8388,77.749,79.0776,70.6069,68.2314,57.7149,56.0449,51.698,57.3827,59.8646,59.4725,65.488,62.4067,64.4627,64.7912,64.9586,66.1337,71.1339,75.8936,82.5553,84.7024,95.6821,96.1089,90.5699,101.615,108.127,103.106,99.5395,101.506,100,99.6559,108.079,104.744,105.762
Bolivia (Plurinational State of),19,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.4724,21.645,22.5157,24.6613,23.6156,25.2767,27.3738,29.8465,32.6706,34.689,36.0477,37.3482,38.5293,39.3053,40.2771,41.6979,41.2093,40.6502,42.391,44.0497,42.9272,42.7734,45.8779,48.423,49.4355,50.4638,48.9931,48.4451,46.1887,43.7619,43.5601,45.3888,47.3115,54.1414,59.3208,71.0239,71.4604,77.7699,90.15,96.9276,102.739,104.844,100,98.6451,104.625,107.822,107.075
Bosnia and Herzegovina,80,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,159.063,124.694,87.0962,54.1974,48.8261,49.0637,47.0302,47.5752,53.4823,54.3915,60.0618,73.034,82.0788,85.1639,92.6106,107.3,123.265,117.117,113.227,121.735,113.412,116.934,118.014,100,101.14,104.799,112.772,109.725
Botswana,20,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.108,29.5228,31.6828,31.0234,36.1619,38.5671,44.0095,56.2252,57.5138,46.4588,45.0665,41.5285,32.8352,40.8778,52.0371,53.7669,68.1459,78.3793,75.8276,77.4591,76.2537,76.7664,79.6611,77.1371,73.9466,70.0562,73.1322,75.6823,71.5979,66.8763,88.2783,102.499,108.688,102.276,102.032,96.0882,97.6046,111.968,126.764,113.992,105.797,110.778,100,104.024,112.454,115.411,110.148
Brazil,21,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.4632,17.1452,19.17,20.5544,22.7983,24.6598,25.4645,23.9428,29.2184,31.7354,23.0178,22.2015,22.0443,24.6581,26.1122,29.1871,38.4854,43.6016,40.1538,38.8272,41.5593,56.0067,72.0253,76.9948,77.2764,74.822,51.928,54.6689,46.3825,41.2563,44.524,50.4744,65.156,77.8551,92.5835,106.933,105.246,129.691,147.735,136.588,133.012,131.447,100,103.013,116.793,105.363,102.097
British Virgin Islands,239,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.7477,18.2425,19.1752,20.9758,21.2922,22.9742,25.6716,28.0918,30.5229,35.1286,37.3959,38.9112,39.9755,41.9085,43.5807,44.0295,48.2735,50.2528,53.4689,55.1799,56.6146,58.9924,61.6766,64.7028,68.0659,71.0108,72.567,74.5989,76.9115,77.2191,79.999,80.799,82.415,90.4034,97.8184,97.3518,87.0427,88.9149,87.7776,92.1345,90.1087,94.3201,100,102.091,95.1261,95.736,96.903
Brunei Darussalam,26,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.2413,18.3155,19.8599,20.1324,22.1016,23.1896,27.3271,51.6517,57.0713,53.6193,48.1023,47.0421,44.4839,30.6395,35.0871,33.5069,36.7717,42.8898,43.718,47.1826,46.1536,44.5456,49.38,51.867,53.478,41.9124,46.1898,58.595,53.2259,53.459,58.2989,69.6369,83.9887,96.8178,103.218,123.7,93.8962,105.484,137.413,140.019,135.891,131.712,100,90.4073,94.9185,106.123,101.435
Bulgaria,27,GDP Deflator,22024,"Value US$, 2015 prices",6179,66.9425,67.6933,54.8926,54.6397,52.566,53.9211,33.9878,37.0579,40.5644,43.0705,44.7575,46.3722,47.8387,48.8021,50.0088,51.7728,53.8025,55.8165,24.7146,30.0524,38.4072,33.804,57.2881,35.2739,37.8363,48.192,47.6704,44.19,45.5777,49.7486,60.9884,70.8807,75.533,81.4055,98.6681,114.027,112.78,108.613,120.871,113.396,116.344,116.833,100,102.327,108.359,118.041,117.169
Burkina Faso,233,GDP Deflator,22024,"Value US$, 2015 prices",6179,45.5834,47.584,55.2886,53.5452,60.4251,69.7278,92.9713,99.1881,88.0549,79.0019,73.0359,64.2497,66.4132,80.694,94.1299,98.2192,96.1296,114.682,106.28,113.539,104.596,61.1579,72.6265,71.1125,63.296,67.5943,67.6398,58.0137,58.579,63.4923,77.2718,85.0888,88.4072,88.5902,99.0627,115.734,112.398,111.208,124.591,121.862,123.248,122.39,100,102.44,106.029,113.095,106.536
Burundi,29,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.4729,32.4554,38.8656,38.8083,42.273,45.5318,57.8874,70.7393,66.5925,70.4056,72.299,65.7821,68.5549,69.5543,62.944,56.241,57.5807,56.4554,54.4874,49.8258,48.0723,54.3834,54.7474,52.0316,58.0323,51.0197,46.6019,41.2626,37.7483,34.2554,32.8708,36.0211,58.6519,63.4224,65.3161,74.0016,78.5409,85.538,90.4605,90.1774,90.5544,95.8826,100,101.021,106.43,100.274,96.052
Cabo Verde,35,GDP Deflator,22024,"Value US$, 2015 prices",6179,40.5993,39.7368,55.6737,50.8941,50.2448,52.7378,54.7912,58.1811,52.6037,51.5893,46.3861,42.6142,40.922,55.0674,65.367,69.2948,66.3023,75.5866,77.6989,84.1724,79.1133,83.7077,93.4036,90.0846,81.7824,80.3794,81.5825,68.7153,67.5992,70.8161,88.672,96.561,95.3236,98.6483,109.097,120.902,117.153,112.255,120.978,112.435,117.847,117.585,100,99.5061,102.115,108.546,103.526
Cambodia,115,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.5014,25.6163,27.989,29.5293,31.3641,33.5702,36.3554,39.6394,43.3901,46.0709,47.8754,49.6026,51.1712,52.2018,53.4924,55.3794,57.5504,55.4524,68.2549,67.8972,66.3239,67.7292,79.071,80.1018,74.4719,64.4651,64.6475,62.0398,62.4528,62.9663,63.1103,65.4473,68.131,71.0986,76.613,86.0433,86.3833,88.1089,93.9097,95.8648,96.9462,99.0465,100,103.756,107.427,110.562,114.123
Cameroon,32,GDP Deflator,22024,"Value US$, 2015 prices",6179,33.7884,34.8708,44.1165,50.8642,52.3082,56.4383,70.8293,78.8608,68.9811,64.4147,62.0023,56.5282,54.2776,70.0469,80.8853,82.1663,78.1869,92.6563,92.5033,97.2518,106.195,60.3041,73.018,74.9474,68.0574,70.1572,68.6,61.3894,61.0098,66.1044,79.1494,85.842,88.4755,92.2477,101.608,115.938,111.761,108.585,117.016,111.043,117.091,119.455,100,100.933,104.537,111.03,107.37
Canada,33,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.7853,29.1906,31.1129,35.074,34.7316,34.5872,37.0517,40.7831,43.8698,46.4047,49.1412,48.4174,47.4537,48.0832,52.8,59.4709,64.7242,67.9069,71.2654,68.5374,65.0413,62.3366,63.4243,64.9557,64.6977,60.277,61.3301,64.0156,62.4028,62.3484,72.1092,80.19,88.7859,97.2859,106.111,111.071,101.282,115.588,124.227,124.519,122.917,116.663,100,97.2344,101.854,103.802,103.065
Cayman Islands,36,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.9201,15.8524,17.2079,18.6793,20.2764,22.0102,23.8922,25.9351,28.1527,30.5599,37.6599,39.4141,41.218,41.9986,44.9133,48.0315,50.5263,55.5589,57.2372,58.865,60.3485,62.2179,64.1128,66.2536,68.3957,68.8833,72.2371,74.7656,76.2757,78.2016,79.5075,83.0063,89.0728,89.7817,96.7778,97.4739,98.0663,97.8639,97.4146,98.1385,98.7833,99.6593,100,101,102.821,104.036,109.965
Central African Republic,37,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.9123,29.8543,39.4549,45.0099,46.8444,55.7078,65.5521,78.0545,68.6698,63.4303,59.4549,53.109,56.4583,70.7319,79.6197,82.1444,78.1975,92.7346,87.624,91.0329,82.7373,52.3606,65.2516,63.7705,55.9154,55.1686,53.8065,48.3034,48.9106,52.3559,64.7577,70.2187,72.9171,75.7517,83.1137,93.8385,92.4364,91.8381,100.259,98.3944,104.207,116.513,100,102.816,111.693,115.333,111.972
Chad,39,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.6008,24.1874,29.8051,28.4147,31.0658,37.1708,42.6602,46.7032,61.5171,54.5857,50.5165,51.7981,47.3967,55.0744,60.3202,65.4705,60.7637,70.8655,67.7643,69.0095,61.2741,47.0232,56.7905,62.1654,56.204,59.8924,52.3527,47.6808,52.7675,56.5227,67.7557,82.1915,101.326,114.899,109.939,133.993,111.629,112.993,126.363,121.086,128.236,129.733,100,91.3637,93.605,100.107,96.3714
Chile,40,GDP Deflator,22024,"Value US$, 2015 prices",6179,41.6042,39.9339,21.3316,28.1381,34.7212,36.9777,45.9739,56.6534,63.9557,52.8829,44.8837,42.0193,36.3484,37.0039,40.5366,44.0882,45.4794,48.2774,51.0953,55.0055,54.5955,59.1324,68.4586,67.0103,68.7004,63.7875,59.1114,58.2778,51.4048,49.3502,51.6174,62.9253,73.4182,86.9278,92.9363,92.8873,90.5561,108.459,117.981,118.627,118.822,109.276,100,100.946,110.358,114.294,107.057
"China, Hong Kong SAR",96,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.442,25.6201,27.2852,30.1002,32.8894,35.3963,39.0247,45.4105,44.72,45.1675,39.4736,40.2192,42.5237,44.056,47.881,52.0437,58.6258,63.1431,69.0795,76.2179,82.836,88.1539,91.715,97.131,102.622,103.83,99.4216,95.6319,93.8441,90.6496,85.3368,82.2593,82.2485,81.9086,84.1148,85.3523,85.4166,85.4558,88.6176,92.0853,93.7593,96.4555,100,101.5,104.012,107.194,109.755
"China, Macao SAR",128,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.235,11.9848,12.8576,11.8629,14.0631,17.0328,18.0344,19.9291,19.4387,19.4182,17.5094,18.6024,19.2748,20.325,22.7488,24.6658,27.7707,30.8719,34.5365,39.8177,43.647,46.6316,50.4046,51.5314,52.3195,51.261,50.539,49.4848,48.7452,48.1013,48.2132,49.1324,51.9392,56.0608,60.7447,67.0053,67.8963,70.9817,76.1491,81.7151,88.0351,95.6655,100,100.78,102.55,105.56,108.316
"China, mainland",41,GDP Deflator,22024,"Value US$, 2015 prices",6179,49.8843,50.7475,52.9187,50.656,53.4989,59.823,67.1023,72.25,65.0102,58.4698,56.6575,50.6328,44.085,39.2464,38.2568,42.8891,46.0461,38.3203,36.7437,38.3748,42.3047,34.1134,40.0164,42.8109,43.6309,43.2948,42.7516,43.6322,44.5331,44.8018,45.9676,49.1647,51.5982,55.1097,62.2366,73.4495,74.5534,80.5812,91.2508,95.5841,99.4893,101.371,100,95.0433,97.3912,102.975,100.176
"China, Taiwan Province of",214,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,72.36,74.15,76.13,77.12,77.13,80.92,80.95,81,83.09,87.36,90.4,93.3,96.54,98.2,100.52,102.88,105.15,108.56,106.48,105.51,104.85,104.41,102.95,102.18,100.64,99.39,98.87,96.26,96.38,95.14,93.09,93.72,95.14,96.73,100,100.76,99.91,99.31,99.38
Colombia,44,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.428,26.6238,27.5787,30.8374,37.5912,41.3868,47.2004,54.1957,57.7414,61.2421,59.9304,57.2803,50.672,47.9482,47.3659,49.0699,47.8484,46.7347,46.9169,48.264,52.8452,66.3326,72.9649,75.0847,79.7111,73.198,66.9384,63.1259,61.0498,59.4076,55.2293,64.8653,77.5504,80.6536,96.3968,109.631,104.014,122.74,134.142,142.958,140.081,133.697,100,94.3984,102.701,107.147,100.666
Comoros,45,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.45,23.5237,34.2679,33.6856,35.8401,45.106,55.0303,61.3435,54.6452,48.1377,47.8234,44.2755,46.2345,64.3304,76.5165,78.7029,76.6406,93.215,92.2216,91.6403,88.0894,65.5436,78.9707,79.5598,70.2381,70.5262,71.5055,63.531,67.0527,73.4799,92.627,105.378,105.913,109.533,124.056,132.772,127.158,122.057,129.839,121.433,122.455,121.259,100,101.981,102.806,108.286,103.827
Congo,46,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.3144,24.7451,29.411,29.1252,31.3578,36.763,44.9089,56.9215,54.8793,48.1363,44.244,43.1581,43.0121,39.5276,49.0189,46.3816,49.9521,57.9149,57.9407,54.8859,50.7255,35.5209,40.6886,45.9198,43.0287,34.4206,43.2164,54.9538,45.9391,47.4747,54.5151,69.9924,85.1379,95.6571,111.398,138.622,101.618,133.155,156.623,153.284,156.65,146.249,100,96.1996,109.414,141.529,132.526
Cook Islands,47,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.3938,19.0699,18.9515,19.3042,18.8251,20.1109,22.038,23.8972,25.7141,25.0211,24.5698,22.1499,21.2831,25.3588,32.7487,40.9579,39.6135,41.0189,41.7452,40.7138,43.8174,50.0559,55.7232,56.344,53.0459,46.6199,48.6145,42.6647,43.0492,48.1807,63.4622,72.543,75.0575,73.5539,79.8863,80.458,77.0857,90.5736,101.463,110.901,106.674,111.797,100,97.7477,99.548,98.875,98.6317
Costa Rica,48,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.384,18.9859,21.8785,25.5117,29.8332,32.1931,35.1371,41.7542,23.1994,24.8584,29.1754,31.416,33.4268,35.5632,34.9338,34.3778,36.8493,38.8786,37.5381,40.8969,42.7071,44.71,47.3628,47.2404,48.3424,49.0239,49.1734,49.8745,51.2988,51.5103,51.4763,53.1608,55.1114,58.2131,63.684,69.6583,70.2248,81.5938,88.7068,93.0793,97.4221,95.689,100,100.098,98.6103,99.4582,99.3909
Cote dIvoire,107,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.0451,26.6977,31.2799,33.4369,42.9203,49.2525,55.9218,69.9042,55.9714,50.1249,47.1377,48.467,47.3032,60.1295,66.4589,66.8122,62.3966,70.1218,67.9504,71.3515,66.3965,48.4583,60.4606,61.9152,56.574,58.0316,56.5672,49.1179,51.4054,57.6692,72.478,77.4333,78.562,80.632,90.5436,105.144,102.054,102.537,110.408,104.644,111.782,116.063,100,97.7524,97.9299,103.024,97.8639
Croatia,98,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,38.5606,44.4449,56.1611,67.8219,67.7792,63.8784,66.8565,61.9373,55.5346,57.4817,63.2622,77.4618,89.1773,93.2837,98.7281,111.889,128.389,123.478,119.764,125.252,116.078,119.947,119.215,100,100.665,104.643,112.344,108.109
Cuba,49,GDP Deflator,22024,"Value US$, 2015 prices",6179,36.6592,41.4566,43.2514,43.4247,41.1524,48.4939,52.6488,56.2601,47.5658,45.412,45.6552,45.7939,42.9782,45.3814,48.3934,50.8199,49.6792,54.2574,51.5754,52.9765,63.0291,79.5944,83.0929,63.3503,62.4959,63.3107,65.708,66.8519,67.1549,70.1989,72.2856,72.7249,73.0013,80.5674,83.4607,83.1722,83.7,84.7061,89.0364,90.9438,93.3609,96.5942,100,104.24,108.529,109.619,113.196
Curacao,279,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8771,80.3147,82.7241,88.4321,90.0239,92.5265,94.6852,97.6999,99.0016,100.485,100,100.047,101.633,104.26,107.028
Cyprus,50,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.1447,24.6804,25.4168,24.9067,27.4191,33.3249,39.7356,45.4727,42.5865,41.5557,39.5022,38.2267,38.8331,47.8023,53.503,57.0054,56.3425,63.9657,65.5862,71.8248,68.0364,72.4247,78.7025,78.3752,72.7081,73.5755,71.7865,64.3394,64.5478,68.1791,84.7966,96.1715,99.0717,103.276,115.827,129.379,123.021,119.491,127.447,119.77,122.596,120.761,100,98.9161,102.783,108.917,103.829
